,domains,categories,comment
0,copilot.polakium.com,/Consumer Electronics/GPS & Navigation,Done
1,store002.crucible-sp.com,/Computers/Computer Security,Done
2,store.indiecomputing.com,/Computers/Computer Hardware/Computer Drives & Storage,Done
3,shop.lighko.com,/Consumer Electronics,Done
4,store.rtserv.io,/Computers/Computer Hardware/Computer Drives & Storage,Done
5,market.webvillage.marketing,/Computers/Computer Hardware/Laptops & Notebooks,Done
6,shop.rgkitplay.com,/Consumer Electronics,Done
7,shop.obsidianintel.com,/Computers/Computer Security,Done
8,shop.computerrepairlab.org,/Computers:/Apparel,Done
9,shop.getubo.com,/Consumer Electronics,Done
10,support.manhattanproducts.com,/Consumer Electronics,Done
11,us.nltcg.com,/Computers:/Games,Done
12,shop.ultimote.com,/Consumer Electronics,Done
13,shop.taestech4me.store,/Consumer Electronics,Done
14,shop.knight-coder.com,/Computers/Computer Hardware/Computer Peripherals,Done
15,california.copilot.chat,/Consumer Electronics,Done
16,fr.woodproducts.shop,/Computers/Computer Hardware/Laptops & Notebooks,Done
17,tienda.hondumedia.com,/Consumer Electronics,Done
18,us.maxtor-si.com,/Computers/Computer Hardware/Computer Drives & Storage,Done
19,ebonyl.tees.center,/Consumer Electronics,Done
20,shopify.problemsolvedtech.com,/Consumer Electronics,Done
21,garden-shirt.tees.center,/Consumer Electronics,not related
22,itsecurity.lutrum.com,/Computers/Computer Security,no product images
23,shopdev.techaz.co,/Consumer Electronics,no related products
24,encinitas.techumarketplace.com,/Computers/Computer Hardware/Laptops & Notebooks,no price given
25,cyberverse.store,/Consumer Electronics,Opening soon
26,smarttecshop.com,/Consumer Electronics,Done
27,www.xebec-canada.com,/Computers/Computer Hardware/Laptops & Notebooks,
28,954a75.myshopify.com,/Consumer Electronics,no product images and price
29,empirehotdeal.myshopify.com,/Consumer Electronics,
30,mr-laptop.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,no products
31,kala-bundle013.myshopify.com,/Consumer Electronics,
32,maexus.myshopify.com,/Consumer Electronics,
33,nebulightz.myshopify.com,/Consumer Electronics,
34,adescoelectronic.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,not related
35,e-breeze-technology.myshopify.com,/Consumer Electronics,no products
36,zkshopy.myshopify.com,/Consumer Electronics/GPS & Navigation,
37,snaponnewpc.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
38,electronics-1526.myshopify.com,/Consumer Electronics,no products
39,grimztechshop.myshopify.com,/Consumer Electronics,not related
40,gadgets1202.myshopify.com,/Consumer Electronics,Done
41,gamingworldnews.myshopify.com,/Computers/Computer Hardware/Computer Peripherals,
42,cs-locamart-2.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
43,jwmselectronics.myshopify.com,/Consumer Electronics,
44,smileshop-4504.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
45,adigitalmarketplace.myshopify.com,/Consumer Electronics,
46,flashcate.myshopify.com,/Consumer Electronics,
47,exclusive-27.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
48,amazondsp.hyperionportal.com,/Consumer Electronics,
49,1da9ae-3.myshopify.com,/Consumer Electronics,
50,alwaysgadgets.myshopify.com,/Consumer Electronics,
51,cornerstonetee-online.myshopify.com,/Consumer Electronics,
52,gadgets-accessories-offer-online.myshopify.com,/Consumer Electronics,
53,gadgitechtown.myshopify.com,/Consumer Electronics,
54,store.patientsupportnetwork.com,/Consumer Electronics,
55,maxshop-6.myshopify.com,/Consumer Electronics,
56,your-autoelectronic.myshopify.com,/Computers/Electronics & Electrical:/Consumer Electronics,
57,opcables.myshopify.com,/Consumer Electronics,
58,chef-chev.myshopify.com,/Computers/Computer Hardware/Computer Drives & Storage,
59,gadgetsworld-co.myshopify.com,/Consumer Electronics,
60,tubibags.myshopify.com,/Consumer Electronics,
61,iunfi.myshopify.com,/Consumer Electronics,
62,getready12.myshopify.com,/Computers/Computer Hardware/Computer Drives & Storage,
63,dell.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
64,avegaming.myshopify.com,/Computers/Computer Hardware/Computer Peripherals,
65,electronics-quick-and-easy.myshopify.com,/Consumer Electronics,
66,hkatzevman.myshopify.com,/Computers/Computer Hardware/Laptops & Notebooks,
67,shop.veracitydata.com,/Consumer Electronics,
68,shop.retrocultmods.com,/Computers/Game Systems & Consoles,
69,portal.ibuy.com,/Computers/Electronics & Electrical:/Consumer Electronics,
70,store.asgroupnet.com,/Computers/Computer Hardware/Laptops & Notebooks,
71,store.morgrie.com,/Computers/Computer Hardware/Computer Peripherals,
72,heb.smart-light.com,/Consumer Electronics,
73,store.iguysconsulting.com,/Computers/Computer Security,
74,shop.jdg-entertainment.com,/Consumer Electronics,
75,store.cibergator.com,/Computers/Computer Hardware/Laptops & Notebooks,
76,buy.rhinomobility.com,/Consumer Electronics,
77,orders.thehelm.com,/Computers/Computer Security,
78,shop.thumbjamz.com,/Computers/Computer Hardware/Computer Drives & Storage,
79,shop.topgadgetgifts.com,/Consumer Electronics,
80,shop.b2bgeeks.com,/Computers/Computer Hardware/Computer Peripherals,
81,myshopify.pcpartsource.com,/Consumer Electronics,
82,shop.thumbdogs.com,/Computers/Computer Hardware/Computer Peripherals,
83,store.rebootimagine.com,/Consumer Electronics,
84,shop.erthenvar.com,/Consumer Electronics,
